MS SubClass,Lot Frontage,Lot Area,Street,Lot Shape,Land Slope,Overall Qual,Overall Cond,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice,EQ_EC,BQ_BC
20,74.0,9627,1,4,3,7,5,2007,0.0,4,3,4,3,3,6,24.0,1,0.0,1327.0,1351.0,5,0,0,0.0,0.0,2,0,3,1,6,0,2007.0,610.0,3,3,0,50,0,0,0,0,0,6,2008,193000,12,12
20,93.0,10114,1,4,3,5,5,2005,0.0,3,3,5,3,3,1,0.0,1,0.0,1430.0,1430.0,5,0,0,0.0,0.0,2,0,3,1,7,0,2004.0,624.0,3,3,0,0,0,0,0,0,0,3,2010,173500,9,15
70,34.0,4571,1,4,3,5,5,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,624.0,624.0,2,720,0,0.0,0.0,1,0,4,1,7,0,1916.0,513.0,2,2,0,0,96,0,0,0,0,5,2008,98000,9,9
20,80.0,8816,1,4,3,5,6,1963,0.0,3,3,3,3,1,3,651.0,1,0.0,470.0,1121.0,3,0,0,1.0,0.0,1,0,3,1,5,0,1963.0,480.0,3,3,0,80,0,0,0,0,0,6,2009,139000,9,9
20,71.0,8197,1,4,3,6,5,1977,148.0,3,3,3,3,1,1,0.0,1,0.0,660.0,660.0,5,0,0,0.0,0.0,1,1,3,1,7,1,1977.0,528.0,3,3,138,0,0,0,0,0,0,4,2007,143500,9,9
60,72.0,8640,1,4,3,7,5,2009,0.0,3,3,4,3,2,6,24.0,1,0.0,732.0,756.0,5,783,0,0.0,0.0,2,1,3,1,7,0,2009.0,614.0,3,3,169,45,0,0,0,0,0,6,2010,215200,9,12
20,109.0,8724,1,4,3,5,5,1968,0.0,3,3,4,3,1,4,492.0,1,0.0,402.0,894.0,4,0,0,0.0,0.0,1,0,3,1,5,1,1968.0,450.0,3,3,0,0,0,0,0,0,0,5,2007,129000,9,12
120,40.0,5664,1,3,3,8,5,2000,0.0,4,3,4,3,1,6,1158.0,1,0.0,343.0,1501.0,5,0,0,1.0,0.0,2,0,2,1,5,1,2000.0,499.0,3,3,212,59,0,0,0,0,0,10,2009,278000,12,12
190,100.0,34650,1,4,3,5,5,1955,0.0,3,3,3,3,2,3,1056.0,1,0.0,0.0,1056.0,3,0,0,1.0,0.0,1,0,3,1,5,0,1955.0,572.0,3,3,264,0,0,0,0,0,0,1,2006,145000,9,9
20,92.0,10573,1,3,3,6,6,1961,3.0,3,3,3,3,1,3,1312.0,1,0.0,141.0,1453.0,5,0,0,1.0,0.0,2,0,3,1,6,1,1961.0,530.0,3,3,0,49,0,0,288,0,0,4,2009,187500,9,9
20,65.0,8450,1,4,3,5,8,2009,0.0,3,4,3,3,1,6,553.0,4,117.0,224.0,894.0,5,0,0,1.0,0.0,1,0,3,1,5,1,1973.0,336.0,3,3,416,144,0,0,0,0,0,4,2010,138500,12,9
50,60.0,8064,1,4,3,5,7,2006,0.0,3,4,3,3,2,1,0.0,1,0.0,672.0,672.0,5,252,0,0.0,0.0,1,0,3,1,6,1,2003.0,576.0,3,3,0,0,0,0,0,0,2000,7,2007,122900,12,9
20,80.0,9600,1,4,3,8,5,1981,0.0,4,3,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,3,0,0,1.0,0.0,2,1,4,1,9,1,1981.0,542.0,3,3,474,120,0,0,0,0,0,7,2009,278000,12,12
120,30.0,9549,1,3,3,8,5,1996,0.0,4,4,4,4,3,2,437.0,6,1057.0,0.0,1494.0,5,0,0,1.0,0.0,1,1,2,1,6,1,1995.0,481.0,3,3,0,30,0,0,216,0,0,4,2006,270000,16,16
20,60.0,10950,1,4,3,6,6,1952,0.0,3,3,3,3,1,5,441.0,1,0.0,507.0,948.0,3,0,0,0.0,0.0,1,0,2,1,5,0,1952.0,410.0,3,3,0,48,0,0,0,0,0,4,2007,125000,9,9
20,79.0,10637,1,4,3,8,5,2008,336.0,4,3,5,3,4,6,1288.0,1,0.0,417.0,1705.0,5,0,0,1.0,0.0,2,0,3,1,7,1,2007.0,826.0,3,3,208,44,0,0,0,0,0,9,2009,297000,12,15
20,80.0,9000,1,3,2,6,6,1958,82.0,3,3,4,3,4,1,0.0,1,0.0,160.0,160.0,2,0,0,0.0,0.0,1,0,2,1,5,1,1958.0,384.0,3,3,0,28,64,0,0,0,0,4,2009,113500,9,12
160,41.0,2665,1,4,3,5,6,1977,0.0,3,3,3,3,1,5,548.0,3,173.0,36.0,757.0,5,550,0,0.0,0.0,2,0,4,1,6,1,1977.0,336.0,3,3,104,26,0,0,0,0,0,7,2006,127000,9,9
20,105.0,11751,1,3,3,6,6,1977,480.0,3,3,4,3,1,4,705.0,1,0.0,1139.0,1844.0,5,0,0,0.0,0.0,2,0,3,1,7,1,1977.0,546.0,3,3,0,122,0,0,0,0,0,1,2010,190000,9,12
20,80.0,9600,1,4,3,7,6,1973,320.0,3,3,3,3,1,5,916.0,1,0.0,326.0,1242.0,2,0,0,0.0,0.0,1,1,3,1,6,1,1973.0,528.0,3,3,0,0,0,0,0,0,0,9,2007,175500,9,9
20,60.0,8428,1,2,3,5,7,1994,0.0,3,4,4,4,1,6,420.0,1,0.0,570.0,990.0,5,0,0,1.0,0.0,1,0,3,1,5,0,1995.0,384.0,3,3,256,0,0,0,0,0,0,7,2007,146000,12,16
20,75.0,9937,1,4,3,5,6,1965,0.0,4,3,3,3,1,4,830.0,2,290.0,136.0,1256.0,4,0,0,1.0,0.0,1,1,3,1,6,0,1965.0,276.0,3,3,736,68,0,0,0,0,0,6,2008,147500,12,9
50,81.0,12150,1,4,3,5,5,1954,335.0,3,3,3,3,1,1,0.0,1,0.0,1050.0,1050.0,5,745,0,0.0,0.0,2,0,4,1,7,0,1954.0,352.0,2,3,0,0,0,0,0,0,0,11,2008,131500,9,9
20,70.0,11200,1,4,3,5,5,1965,0.0,3,3,3,3,1,3,906.0,1,0.0,134.0,1040.0,5,0,0,1.0,0.0,1,0,3,1,5,0,1965.0,384.0,3,3,0,0,0,0,0,0,0,2,2008,129500,9,9
70,100.0,9670,1,3,2,8,6,1950,40.0,3,3,3,2,1,2,210.0,1,0.0,398.0,608.0,3,890,0,0.0,0.0,1,1,4,1,9,2,1935.0,786.0,2,3,0,0,207,0,0,0,0,6,2008,257076,9,6
50,60.0,10998,1,4,3,5,5,1960,0.0,3,3,3,3,1,2,408.0,4,420.0,156.0,984.0,5,620,0,0.0,0.0,2,0,3,1,6,0,1977.0,660.0,3,3,0,68,0,0,0,0,0,7,2009,117000,9,9
70,60.0,7200,1,4,2,7,6,2000,0.0,3,2,4,3,1,1,0.0,1,0.0,776.0,776.0,3,651,0,0.0,0.0,1,1,3,1,6,1,1931.0,270.0,3,3,0,0,112,0,0,0,0,2,2008,149000,6,12
20,80.0,9920,1,4,3,5,5,1954,110.0,3,3,3,3,1,3,354.0,2,290.0,412.0,1056.0,3,0,0,1.0,0.0,1,0,3,1,6,0,1954.0,280.0,3,3,0,0,164,0,0,0,0,2,2010,128000,9,9
160,36.0,2448,1,4,3,7,5,2004,106.0,4,3,4,3,1,1,0.0,1,0.0,764.0,764.0,5,862,0,0.0,0.0,2,1,2,1,6,0,2003.0,474.0,3,3,0,27,0,0,0,0,0,10,2008,155000,12,12
50,65.0,7804,1,4,3,4,3,1950,0.0,3,3,3,3,1,4,622.0,1,0.0,500.0,1122.0,3,653,0,1.0,0.0,2,0,4,1,7,2,1981.0,576.0,3,3,431,44,0,0,0,0,0,12,2009,135000,9,9
60,80.0,16692,1,3,3,7,5,1978,184.0,3,3,4,3,1,4,790.0,2,469.0,133.0,1392.0,3,1392,0,1.0,0.0,3,1,5,1,12,2,1978.0,564.0,3,3,0,112,0,0,440,519,2000,7,2006,250000,9,12
20,75.0,10170,1,4,3,6,6,1951,522.0,3,3,3,3,1,1,0.0,1,0.0,216.0,216.0,3,0,0,0.0,0.0,1,1,2,1,5,1,1951.0,400.0,3,3,0,0,0,0,0,0,0,6,2006,155000,9,9
60,80.0,9364,1,4,3,6,7,1969,143.0,3,3,3,3,1,5,371.0,1,0.0,292.0,663.0,3,689,0,0.0,0.0,1,1,4,1,7,0,1969.0,299.0,3,3,379,36,0,0,0,0,0,3,2010,158000,9,9
160,24.0,2544,1,4,3,7,5,2005,0.0,4,3,4,3,1,6,368.0,5,42.0,190.0,600.0,5,600,0,1.0,0.0,2,1,2,1,4,0,2004.0,480.0,3,3,0,172,0,0,0,0,0,2,2010,149500,12,12
20,82.0,9888,1,4,3,5,6,1975,0.0,3,4,3,3,1,4,486.0,1,0.0,450.0,936.0,3,0,0,0.0,0.0,1,0,2,1,5,0,1954.0,240.0,3,3,0,0,160,0,0,0,0,3,2006,121000,12,9
20,68.0,7942,1,4,3,6,7,1953,0.0,3,3,3,3,1,3,85.0,5,955.0,0.0,1040.0,3,0,0,0.0,1.0,1,0,3,1,6,0,1953.0,293.0,3,3,0,0,0,0,0,0,0,6,2007,136000,9,9
60,92.0,11764,1,3,3,8,7,2007,348.0,4,3,4,3,1,6,524.0,1,0.0,628.0,1152.0,5,1106,0,0.0,0.0,2,1,4,1,9,1,1999.0,671.0,3,3,132,57,0,0,0,0,0,4,2010,290000,12,12
60,75.0,9000,1,4,3,8,5,2007,0.0,4,3,4,3,3,6,64.0,1,0.0,1120.0,1184.0,5,1426,0,0.0,0.0,2,1,4,1,11,1,2007.0,550.0,3,3,208,364,0,0,0,0,0,8,2007,303477,12,12
50,81.0,7308,1,4,3,5,5,1950,0.0,2,2,3,3,1,3,360.0,1,0.0,576.0,936.0,4,780,0,0.0,0.0,1,0,2,1,6,1,1920.0,225.0,2,2,0,0,236,0,0,0,0,6,2008,122250,4,9
20,70.0,8750,1,4,3,5,5,1955,0.0,3,3,3,3,1,3,172.0,2,483.0,727.0,1382.0,4,0,0,0.0,1.0,1,0,3,1,6,0,1955.0,350.0,3,3,280,0,0,0,0,0,0,7,2009,153000,9,9
70,63.0,4000,1,4,3,7,8,1995,0.0,3,3,4,3,1,6,246.0,1,0.0,285.0,531.0,3,531,0,1.0,0.0,1,0,2,1,5,1,1930.0,216.0,3,3,0,0,0,0,0,0,0,6,2007,148500,9,12
160,32.0,3363,1,4,3,7,5,2004,117.0,4,3,4,3,1,1,0.0,1,0.0,976.0,976.0,5,732,0,0.0,0.0,2,0,3,1,7,0,2004.0,380.0,3,3,0,40,0,0,0,0,0,4,2006,130000,12,12
20,94.0,13615,1,3,2,9,5,2006,510.0,5,3,5,3,4,1,0.0,1,0.0,1802.0,1802.0,5,0,0,0.0,0.0,2,1,3,1,7,1,2006.0,843.0,3,3,158,105,0,0,0,0,0,6,2007,372000,15,15
120,43.0,3013,1,4,3,7,5,2005,145.0,4,3,4,3,4,6,16.0,1,0.0,1346.0,1362.0,5,0,0,0.0,0.0,2,0,2,1,6,1,2005.0,440.0,3,3,142,20,0,0,0,0,0,4,2006,213490,12,12
20,44.0,17485,1,2,3,7,5,2010,96.0,4,3,4,3,4,6,1346.0,1,0.0,162.0,1508.0,5,0,0,1.0,0.0,1,0,1,1,5,2,2009.0,572.0,3,3,0,0,0,0,0,0,0,1,2010,308030,12,12
20,79.0,8910,1,4,3,6,6,1959,0.0,3,3,3,3,2,5,655.0,1,0.0,0.0,655.0,5,0,0,0.0,1.0,1,0,3,1,6,1,1954.0,539.0,3,3,0,0,192,0,0,0,0,7,2006,159500,9,9
160,24.0,2522,1,4,3,7,5,2004,50.0,4,3,4,3,1,1,0.0,1,0.0,970.0,970.0,5,739,0,0.0,0.0,2,0,3,1,7,0,2004.0,380.0,3,3,0,40,0,0,0,0,0,4,2006,137500,12,12
20,73.0,8688,1,4,3,7,5,2005,228.0,4,3,4,3,3,1,0.0,1,0.0,1616.0,1616.0,5,0,0,0.0,0.0,2,0,3,1,7,0,2005.0,834.0,3,3,208,59,0,0,0,0,0,4,2006,232000,12,12
30,60.0,6324,1,3,3,4,6,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,520.0,520.0,2,0,0,0.0,0.0,1,0,1,1,4,0,1920.0,240.0,2,3,49,0,87,0,0,0,0,5,2008,68500,9,9
90,80.0,11600,1,4,3,5,5,1960,361.0,3,3,3,3,1,3,443.0,1,0.0,662.0,1105.0,3,1169,0,0.0,0.0,2,0,5,2,12,0,1960.0,480.0,3,3,0,0,0,0,0,0,0,1,2010,154300,9,9
70,35.0,4571,1,4,3,5,7,1950,0.0,3,3,3,3,1,4,168.0,1,0.0,448.0,616.0,5,616,0,0.0,0.0,1,0,3,1,6,0,1920.0,480.0,2,2,280,0,143,0,0,0,0,6,2007,114000,9,9
20,63.0,17423,1,3,3,9,5,2009,748.0,5,3,5,3,1,6,1904.0,1,0.0,312.0,2216.0,5,0,0,1.0,0.0,2,0,1,1,9,1,2009.0,1166.0,3,3,0,60,0,0,0,0,0,7,2009,501837,15,15
50,100.0,12665,1,3,3,5,8,1950,0.0,3,3,3,3,2,1,0.0,1,0.0,876.0,876.0,4,540,0,0.0,0.0,1,1,4,1,7,1,1949.0,720.0,3,3,418,0,194,0,0,0,0,6,2008,153900,9,9
20,60.0,9000,1,4,3,4,7,2006,0.0,3,4,3,3,1,5,240.0,1,0.0,624.0,864.0,4,0,0,0.0,0.0,1,0,3,1,5,0,1986.0,576.0,3,3,200,0,0,0,0,0,0,7,2009,130000,12,9
120,32.0,4500,1,4,3,6,5,1997,197.0,3,3,5,3,1,6,864.0,1,0.0,325.0,1189.0,5,0,0,1.0,0.0,2,0,2,1,4,0,1997.0,392.0,3,3,0,122,0,0,0,0,0,4,2008,160500,9,15
120,48.0,6373,1,4,3,9,5,2006,572.0,5,3,5,4,1,6,415.0,1,0.0,1251.0,1666.0,5,0,0,1.0,0.0,2,0,2,1,6,1,2006.0,575.0,3,3,228,75,0,0,0,0,0,6,2006,310090,15,20
20,70.0,13300,1,4,3,5,7,2000,0.0,3,3,4,3,1,3,377.0,1,0.0,551.0,928.0,3,0,0,0.0,0.0,1,0,2,1,4,0,1956.0,252.0,3,3,261,0,156,0,0,0,0,6,2007,132000,9,12
20,80.0,9600,1,4,3,5,5,1969,128.0,3,3,4,3,2,5,553.0,3,147.0,588.0,1288.0,3,0,0,0.0,1.0,2,0,3,1,6,1,1969.0,502.0,3,3,312,11,0,0,0,0,650,8,2009,163000,9,12
160,30.0,3215,1,4,3,7,5,2004,120.0,4,3,4,3,3,6,280.0,1,0.0,320.0,600.0,5,600,0,0.0,0.0,2,1,2,1,4,0,2004.0,480.0,3,3,0,172,0,0,0,0,0,4,2010,155000,12,12
60,70.0,9109,1,4,3,7,5,1994,0.0,4,3,4,3,1,2,36.0,6,596.0,122.0,754.0,5,786,0,1.0,0.0,2,1,3,1,6,0,1994.0,495.0,3,3,140,32,0,0,0,0,0,10,2009,184000,12,12
120,80.0,3523,1,3,3,8,5,2007,30.0,4,3,4,3,1,6,60.0,1,0.0,1081.0,1141.0,5,0,0,1.0,0.0,2,0,2,1,5,0,2006.0,484.0,3,3,0,60,0,0,0,0,0,2,2007,166000,12,12
80,88.0,15312,1,4,3,6,5,1960,54.0,3,3,3,3,3,4,588.0,1,0.0,550.0,1138.0,5,0,0,0.0,1.0,1,0,3,1,6,1,1960.0,480.0,3,3,0,0,0,0,140,0,0,3,2009,148000,9,9
20,74.0,7450,1,3,3,5,5,1956,0.0,3,3,3,3,1,3,438.0,2,206.0,250.0,894.0,4,0,0,0.0,0.0,1,0,2,1,6,1,1966.0,396.0,3,3,0,72,0,0,0,0,0,1,2007,124000,9,9
120,60.0,7313,1,4,3,9,5,2005,246.0,5,3,5,3,1,6,1153.0,1,0.0,408.0,1561.0,5,0,0,1.0,0.0,2,0,2,1,6,1,2005.0,556.0,3,3,203,47,0,0,0,0,0,8,2007,277500,15,15
60,83.0,10019,1,3,3,8,5,1995,397.0,4,3,4,3,1,5,527.0,1,0.0,815.0,1342.0,5,1368,0,0.0,0.0,2,1,4,1,9,1,1995.0,725.0,3,3,307,169,168,0,0,0,0,6,2006,350000,12,12
20,53.0,15401,1,3,3,9,5,2004,296.0,5,3,5,3,4,6,1337.0,1,0.0,547.0,1884.0,5,0,0,1.0,0.0,2,0,2,1,7,1,2004.0,670.0,3,3,214,76,0,0,0,0,0,9,2008,387000,15,15
20,103.0,16280,1,4,3,8,9,2007,0.0,5,5,4,5,2,6,1044.0,3,382.0,0.0,1426.0,5,0,0,1.0,0.0,3,0,3,1,6,1,1976.0,550.0,3,3,280,90,0,0,0,0,0,5,2008,290000,25,20
60,71.0,12209,1,3,3,6,5,2002,0.0,3,3,5,3,1,5,690.0,1,0.0,114.0,804.0,5,1157,0,1.0,0.0,2,1,3,1,7,1,2001.0,560.0,3,3,125,192,0,0,0,0,0,6,2009,215000,9,15
190,79.0,13110,1,3,3,5,6,1972,144.0,3,3,4,3,1,6,962.0,1,0.0,191.0,1153.0,5,0,0,1.0,0.0,2,0,2,1,6,0,1972.0,501.0,3,3,140,153,0,0,0,0,0,7,2006,146500,9,12
50,60.0,8520,1,4,3,6,7,1950,0.0,3,4,3,3,1,3,168.0,2,546.0,0.0,714.0,3,862,0,0.0,0.0,2,0,5,1,10,1,1916.0,216.0,3,3,88,15,0,0,0,0,0,8,2007,136000,12,9
160,36.0,2628,1,4,3,7,5,2003,106.0,4,3,4,3,1,1,0.0,1,0.0,764.0,764.0,5,862,0,0.0,0.0,2,1,2,1,6,0,2003.0,474.0,3,3,0,27,0,0,0,0,0,6,2010,175500,12,12
70,57.0,6406,1,4,3,5,6,1950,0.0,3,3,3,3,1,5,421.0,1,0.0,269.0,690.0,3,690,0,0.0,0.0,1,1,3,1,7,1,1939.0,400.0,3,3,0,36,0,0,182,0,0,10,2009,150000,9,9
50,52.0,6240,1,4,3,5,7,1992,0.0,3,3,3,3,1,1,0.0,1,0.0,1078.0,1078.0,3,445,0,0.0,0.0,2,0,3,1,8,1,1930.0,360.0,3,3,0,0,0,0,0,0,0,6,2008,162900,9,9
20,87.0,10000,1,3,3,6,6,1962,261.0,3,3,3,3,1,1,0.0,1,0.0,1116.0,1116.0,3,0,0,0.0,0.0,1,1,3,1,5,0,1962.0,440.0,3,3,0,0,0,0,385,0,0,2,2010,160000,9,9
20,80.0,11088,1,4,3,6,5,1998,144.0,3,3,3,3,1,5,832.0,1,0.0,308.0,1140.0,4,0,0,0.0,0.0,2,0,3,1,7,1,1978.0,479.0,3,3,0,0,0,0,0,0,0,5,2009,184000,9,9
20,134.0,17755,1,4,3,5,4,1959,132.0,3,3,3,3,1,4,176.0,1,0.0,1290.0,1466.0,3,0,0,0.0,0.0,1,1,3,1,6,2,1959.0,528.0,3,3,0,140,0,0,100,0,0,11,2006,149900,9,9
60,65.0,15426,1,3,3,6,5,1997,0.0,3,3,4,3,1,6,821.0,1,0.0,107.0,928.0,5,836,0,1.0,0.0,2,1,3,1,7,0,1997.0,470.0,3,3,276,99,0,0,0,0,0,8,2009,231500,9,12
20,70.0,8750,1,4,3,5,5,1956,0.0,3,3,3,3,1,3,435.0,4,202.0,565.0,1202.0,3,0,0,0.0,1.0,1,0,3,1,6,0,1956.0,304.0,3,3,0,35,120,0,0,0,0,11,2009,120000,9,9
30,56.0,8960,1,4,3,5,6,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,1008.0,1008.0,4,0,0,0.0,0.0,1,0,2,1,5,1,1927.0,360.0,3,3,0,0,130,0,0,0,0,3,2010,115000,9,9
50,50.0,3500,1,4,3,5,7,1950,0.0,3,3,3,3,1,2,312.0,1,0.0,408.0,720.0,3,564,0,0.0,0.0,1,1,2,1,5,0,1948.0,240.0,3,3,0,35,0,0,0,0,0,4,2009,110000,9,9
60,74.0,9056,1,3,3,8,5,2004,0.0,4,3,5,4,3,1,0.0,1,0.0,707.0,707.0,5,707,0,0.0,0.0,2,1,3,1,6,1,2004.0,403.0,3,3,100,35,0,0,0,0,0,10,2006,178000,12,20
70,70.0,12320,1,3,3,7,7,1990,0.0,3,3,3,3,1,1,0.0,1,0.0,637.0,637.0,5,650,0,0.0,0.0,1,1,3,1,8,2,1963.0,579.0,3,3,0,0,0,0,104,0,0,5,2006,199500,9,9
60,60.0,8238,1,3,3,6,5,1998,0.0,3,3,3,3,1,6,700.0,1,0.0,113.0,813.0,5,712,0,1.0,0.0,2,1,3,1,6,1,1997.0,400.0,3,3,421,72,0,0,0,0,0,5,2006,183500,9,9
80,75.0,6000,1,4,3,5,5,1967,0.0,2,3,4,3,2,3,257.0,1,0.0,367.0,624.0,5,564,0,0.0,0.0,1,1,3,1,7,1,1967.0,288.0,3,3,0,180,0,0,100,0,0,7,2008,126000,6,12
120,24.0,2529,1,4,3,7,6,1977,0.0,3,3,4,3,1,5,378.0,1,0.0,677.0,1055.0,2,0,0,0.0,0.0,2,0,2,1,4,0,1977.0,440.0,3,3,0,38,0,0,0,0,0,9,2008,148500,9,12
60,60.0,10800,1,4,3,5,7,2006,0.0,3,4,3,3,1,1,0.0,1,0.0,676.0,676.0,5,676,0,0.0,1.0,2,0,4,1,7,0,1939.0,720.0,3,3,187,0,128,0,0,0,0,8,2009,149000,12,9
160,24.0,2349,1,4,3,6,5,1977,0.0,3,3,4,3,1,5,389.0,1,0.0,466.0,855.0,3,601,0,0.0,0.0,2,1,3,1,6,1,1977.0,440.0,3,3,0,28,0,0,0,0,0,5,2009,137900,9,12
120,32.0,10846,1,3,3,8,5,1993,0.0,4,3,4,3,4,6,1619.0,1,0.0,100.0,1719.0,5,0,0,2.0,0.0,1,1,1,1,6,2,1993.0,473.0,3,3,122,30,0,0,0,0,0,5,2008,324000,12,12
160,21.0,1680,1,4,3,6,5,1973,359.0,3,3,3,3,1,2,458.0,1,0.0,25.0,483.0,3,504,0,0.0,1.0,1,1,2,1,5,0,1973.0,264.0,3,3,52,0,0,0,0,0,0,2,2008,103400,9,9
120,34.0,4590,1,4,3,8,5,2006,108.0,4,3,4,4,2,6,24.0,1,0.0,1530.0,1554.0,5,0,0,0.0,0.0,2,0,2,1,6,1,2006.0,627.0,3,3,156,73,0,0,0,0,0,8,2007,209500,12,16
60,60.0,18062,1,3,3,10,5,2006,662.0,5,3,5,3,4,1,0.0,1,0.0,1528.0,1528.0,5,1862,0,0.0,0.0,3,1,5,1,10,1,2006.0,758.0,3,3,204,34,0,0,0,0,0,9,2006,545224,15,15
20,140.0,19138,1,4,3,4,5,1951,0.0,3,3,3,3,1,2,120.0,1,0.0,744.0,864.0,5,0,0,0.0,0.0,1,0,2,1,4,0,1951.0,400.0,3,3,0,0,0,0,0,0,0,6,2010,141000,9,9
20,75.0,9525,1,4,3,5,7,1998,0.0,3,3,3,3,3,4,954.0,1,0.0,218.0,1172.0,3,0,0,1.0,0.0,1,0,3,1,5,0,1954.0,366.0,3,3,240,0,0,0,0,0,0,6,2010,128000,9,9
20,57.0,12853,1,3,3,8,5,2010,0.0,4,3,5,1,1,6,1032.0,1,0.0,610.0,1642.0,5,0,0,1.0,0.0,1,1,1,1,6,1,2010.0,852.0,3,3,160,192,0,224,0,0,0,4,2010,267916,12,5
50,52.0,6240,1,4,3,6,6,1950,0.0,3,3,3,2,1,2,425.0,1,0.0,459.0,884.0,3,408,0,0.0,0.0,1,0,3,1,6,1,1978.0,560.0,3,3,0,0,0,0,120,0,0,11,2007,127500,9,6
20,78.0,12090,1,3,3,6,6,1981,210.0,3,4,4,3,1,6,588.0,2,228.0,606.0,1422.0,3,0,0,0.0,0.0,2,0,3,1,7,1,1981.0,576.0,3,3,276,0,0,0,0,0,0,6,2008,175500,12,12
50,57.0,8094,1,4,3,4,5,1950,0.0,3,2,3,3,1,1,0.0,1,0.0,888.0,888.0,5,1074,0,0.0,0.0,1,1,4,1,9,1,1915.0,572.0,3,3,160,0,364,0,0,0,0,6,2010,149500,6,9
60,85.0,16056,1,3,3,9,5,2006,208.0,4,3,5,3,3,6,240.0,1,0.0,1752.0,1992.0,5,876,0,0.0,0.0,3,1,4,1,11,1,2005.0,716.0,3,3,214,108,0,0,0,0,0,7,2006,556581,12,15
